dim	coefficient
637	0.050610326
638	-0.0065165376
639	-0.059329662
640	-0.06335452
641	0.012654642
642	-0.043165676
643	-0.04945956
644	-0.019306451
645	-0.008796768
646	-0.07281539
647	-0.05358019
648	0.015920527
649	-0.033244286
650	-0.04351912
651	-0.030931003
652	0.08331017
653	-0.01670836
654	0.08458507
655	-0.08490309
656	0.06940547
657	-0.08842753
658	-0.052700616
659	-0.004139082
660	0.105994314
661	-0.0039427746
662	-0.063191645
663	-0.02697098
664	0.010947862
665	-0.018759394
666	-0.09378145
667	-0.009423923
668	0.010939597
669	0.102062754
670	-0.065481216
671	-0.009047968
672	0.052970514
673	0.009079348
674	0.040290255
675	0.0016722861
676	-0.0646932
677	-0.0085716285
678	0.00692383
679	-0.0028993743
680	0.048864122
681	-0.018165536
682	-0.03291738
683	0.040557414
684	0.05213285
685	-0.111723796
686	0.014079267
687	-0.037080783
688	0.032159332
689	-0.064706154
690	0.09470389
691	0.0103851
692	-0.04414491
693	0.06487946
694	0.16378373
695	0.029470308
696	0.067835934
697	-0.038988262
698	-0.05187116
699	-0.07837527
700	-0.03579766
701	-0.047084615
702	-0.017019592
703	-0.032356743
704	0.17742817
705	-0.0331398
706	0.0014524716
707	-0.07306063
708	0.0052778125
709	0.024606815
710	0.06774391
711	-0.030015077
712	0.045733795
713	0.073839456
714	-0.007711438
715	0.095129736
716	0.017046032
717	0.021589126
718	-0.019992413
719	-0.026401952
720	0.0055561727
721	-0.07496102
722	0.13553624
723	0.04244609
724	-0.11117065
725	0.006828754
726	0.051559232
727	0.028468162
728	0.04952499
729	-0.04371868
730	0.031497166
731	-0.026926275
732	0.047744595
733	-0.01425738
734	-0.013955833
735	0.023758523
736	0.01810735
737	0.0127257565
738	-0.0010051169
739	0.02479003
740	0.035664216
741	-0.009895047
742	-0.06692613
743	-0.07591597
744	0.039441008
745	0.0021050763
746	0.09693974
747	0.09256334
748	-0.06782131
749	-0.0119734965
750	-0.0363966
751	-0.06143843
752	0.067726366
753	-0.009829162
754	-0.002128967
755	0.0146104265
756	-0.028059604
757	0.04755906
758	0.02716809
759	0.006044973
760	0.012610101
761	0.017624922
762	0.09116886
763	0.003591781
764	0.011387554
765	0.05205784
766	-0.1022585
767	0.04873024
